,subject,angle,side,session,trk_leng,trk_ang,trk_dens,dti_md,dti_fa,
1,S01,15°,Left,2,119.0643311,85.05380249,1.25,1.464649916,0.264062732,S01
2,S01,15°,Right,2,128.0473022,83.54176331,1.25,1.465144753,0.259575188,S01
3,S01,35°,Left,2,119.1060715,84.89864349,1.25,1.46172452,0.284977332,S01
4,S01,35°,Right,2,128.222229,83.50761414,1.5,1.484414577,0.293272257,S01
5,S02,15°,Left,2,121.9227295,82.22138977,1.25,1.524396002,0.236503772,S02
6,S02,15°,Right,2,132.7116852,82.22763824,1.5,1.559004664,0.249855399,S02
7,S02,35°,Left,2,116.5499802,81.77728271,1.25,1.541475177,0.254158258,S02
8,S02,35°,Right,2,134.6839676,82.76428604,1.5,1.567473888,0.263341516,S02
9,S03,15°,Left,2,96.52185059,83.99370575,1,1.491135597,0.233771488,S03
10,S03,15°,Right,2,110.0322723,83.85084534,1,1.50036788,0.230725169,S03
11,S03,35°,Left,2,94.45402527,85.02493668,1.25,1.425720811,0.248243302,S03
12,S03,35°,Right,2,120.0904922,84.58628845,1.25,1.449439526,0.264344156,S03
13,S04,15°,Left,2,83.11319733,81.80609894,1.25,1.50603503,0.230251946,S04
14,S04,15°,Right,2,89.99895096,82.65128326,1.25,1.491576552,0.243307769,S04
15,S04,35°,Left,2,62.70022774,80.74584198,1,1.488285124,0.240979426,S04
16,S04,35°,Right,2,60.77088928,78.6661377,1,1.501591623,0.254871011,S04
17,S05,15°,Left,2,116.786026,79.8687973,1.25,1.532396555,0.228181414,S05
18,S05,15°,Right,2,125.8745766,83.33390045,1.25,1.532404423,0.242966868,S05
19,S05,35°,Left,2,110.1732483,81.06058884,1.25,1.543623745,0.234454803,S05
20,S05,35°,Right,2,114.7221451,81.9756813,1.5,1.540444255,0.254454747,S05
